SITE;ZONE;REF;LINHA;LAST USER MODIFIED STATUS;:ABL STATUS DESCRIPTION;ABL %;:SFLEX;:FLEXSTAT;:NUMA1;:PCLINUM;Fluxograma;:DESIGN;:PDATDRWG;:HOLD;:NOTE1;:NOTE2;:NOTE3;:NOTE4;:NOTE5;:NOTE6;:NOTE7;REV ATUAL;:DESIGNED
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/30103;/3132-LBW-0197-T-2-30H25;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8412;3132.T.ISO.1572;3132.P.FLX.0001_14/29;ALJ;05/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26243;/3132-LBW-0198-T-1-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7894;3132.T.ISO.1363;3132.P.FLX.0001_14/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26244;/3132-LBW-0199-T-1-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8502;3132.T.ISO.1662;3132.P.FLX.0001_14/29;APL;03/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201351668/9913;/3132-LBW-0200-T-3-15H20;gabriel.santo;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8501;3132.T.ISO.1661;3132.P.FLX.0001_14/29;GES;19/11/20;unset;unset;unset;unset;unset;unset;DADOS DEPROCESSO;COM PENDENCIAS OUTROS;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201351668/6191;/3132-LBW-0202-T-2-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7987;3132.T.ISO.1456;3132.P.FLX.0001_14/29;APL;31/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201359860/6539;/3132-LBW-0204-T-1.1/2-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8369;3132.T.ISO.1529;3132.P.FLX.0001_15/29;ALJ;09/10/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201368052/3458;/3132-LBW-0205-T-1.1/2-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-6681;3132.T.ISO.1221;3132.P.FLX.0001_14/29;ALJ;21/09/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201368052/2294;/3132-LWH-0008-T-1-30H25;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7893;3132.T.ISO.1362;3132.P.FLX.0001_13/29;APL;31/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/26245;/3132-LWH-0001-T-6-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7895;3132.T.ISO.1364;3132.P.FLX.0001_18/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/26246;/3132-LWH-0002-T-8-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7896;3132.T.ISO.1365;3132.P.FLX.0001_18/29;APL;12/08/20;unset;3132-171-2-xxxx;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/26247;/3132-LWH-0003-T-1-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7897;3132.T.ISO.1366;3132.P.FLX.0001_13/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/22971;/3132-LWH-0004-T-3-30H25;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7898;3132.T.ISO.1367;3132.P.FLX.0001_13/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/22950;/3132-LWH-0005-T-4-15H22;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7899;3132.T.ISO.1368;3132.P.FLX.0001_6/29 ;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/26248;/3132-LWH-0007-T-4-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7900;3132.T.ISO.1369;3132.P.FLX.0001_12/29;APL;12/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWH;=201343476/23276;/3124-LWH-0008-T-8-15H22-WB;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8011;3124.T.ISO.1245;3124.P.FLX.0001_1/5;APL;03/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/30440;/3132-LWO-0003-T-3-30H25;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7903;3132.T.ISO.1372;3132.P.FLX.0001_12/29;APL;26/10/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/26249;/3132-LWO-0001-T-1-30H25;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7901;3132.T.ISO.1370;3132.P.FLX.0001_12/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;3132-ORIFÍCIO DE RESTRIÇÃO;COM PENDENCIAS OUTROS;0;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/14821;/3132-LWO-0002-T-2-30H25;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7902;3132.T.ISO.1371;3132.P.FLX.0001_12/29;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;1;LF
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/14880;/3132-LWO-0004-T-1-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7904;3132.T.ISO.1373;3132.P.FLX.0001_12/29;APL;11/08/20;unset;unset;unset;unset;unset;unset;unset;;0;LF
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/14862;/3132-LWO-0005-T-4-15H22;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7905;3132.T.ISO.1374;3132.P.FLX.0001_13/29 ;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/26251;/3132-LWO-0006-T-1/2-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7906;3132.T.ISO.1375;3132.P.FLX.0001_13/29;APL;11/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/26252;/3132-LWO-0007-T-1-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7907;3132.T.ISO.1376;3132.P.FLX.0001_13/29;APL;11/08/20;;;;;;;;;0;
/025-076_PIPE_BROWN_2B;/025-076_LWO;=201343476/26253;/3132-LWO-0008-T-1/2-15H22;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7908;3132.T.ISO.1377;3132.P.FLX.0001_13/29;APL;11/08/20;;;;;;;;;0;
/025-076_PIPE_BROWN_2B;/025-076_MSU;=201343476/26255;/3132-MSU-0002-T-1.1/2-15H40;gabriel.santo;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8570;3132.T.ISO.1730;3132.P.FLX.0001_6/29 ;GES;19/11/20;unset;3132-422-1-1113-HOLD;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_MSU;=201343476/26256;/3132-MSU-0003-T-1-15H40;gabriel.santo;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8370;3132.T.ISO.1530;3132.P.FLX.0001_9/29 ;GES;19/11/20;unset;3132-422-1-1526-HOLD;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_OXG;=201343476/19021;/3132-OXG-0002-T-4-30H23;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-6555;3132.T.ISO.1095;3132.P.FLX.0001_12/29;ALJ;10/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_OXG;=201343476/22904;/3132-OXG-0003-T-4-30H23;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-6556;3132.T.ISO.1096;3132.P.FLX.0001_6/29 ;ALJ;10/09/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_OXG;=201359860/104;/3132-OXG-0004-T-2-30H23;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7909;3132.T.ISO.1378;3132.P.FLX.0001_13/29;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_OXG;=201343476/26257;/3132-OXG-0005-T-2-30H23;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7910;3132.T.ISO.1379;3132.P.FLX.0001_6/29 ;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;2;
/025-076_PIPE_BROWN_2B;/025-076_PBD;=201359860/6278;/3132-PBD-0023-T-3-30H20-DRAIN-CANCELADA;luis.corisco;Existing pipe;100;--;--;A1-XXX-YYY-ZZZ;unset;D714-0011XXYX;LHC;XX/XX/03;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_PBD;=201359860/6272;/3132-PBD-0115-T-3-30H40-DRAIN-CANCELADA;luis.corisco;Existing pipe;100;--;--;A1-XXX-YYY-ZZZ;unset;D714-0011XXYX;LHC;XX/XX/03;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_PBD;=201359860/6266;/3132-PBD-0054-T-3-15H20-DRAIN-CANCELADA;luis.corisco;Existing pipe;100;--;--;A1-XXX-YYY-ZZZ;unset;D714-0011XXYX;LHC;XX/XX/03;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_PBD;=201359860/6260;/3132-PBD-0045-T-3-15H20-DRAIN-CANCELADA;luis.corisco;Existing pipe;100;--;--;A1-XXX-YYY-ZZZ;unset;D714-0011XXYX;LHC;XX/XX/03;unset;unset;unset;unset;unset;unset;unset;;0;
